                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 2.1901,                 1.9555,                 2.4664,                0.00168,                0.08871,                0.00096,                0.00022,                 4.4643,                 3.8126,                 3.9537,              0.0010181,              0.0010181,              0.0010181
                     50,                 2.0953,                 1.6134,                 2.1089,                0.00219,                 0.1129,                0.00123,                0.00027,                 4.4261,                 3.8388,                 3.9182,              0.0010195,              0.0010195,              0.0010195
                     51,                  2.045,                 1.6783,                 2.2297,                0.00219,                 0.1129,                0.00123,                0.00027,                 4.4261,                 3.8388,                 3.9182,                0.00101,                0.00101,                0.00101
                     52,                 2.0086,                 1.6468,                 2.0854,                0.00172,                0.08065,                0.00093,                 0.0002,                 4.4192,                 3.7663,                 3.9011,                0.00101,                0.00101,                0.00101
                     53,                 2.2222,                 1.5497,                 2.2053,                0.00172,                0.08065,                0.00093,                 0.0002,                 4.4192,                 3.7663,                 3.9011,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.0706,                 1.6417,                 2.2001,                0.01442,                0.15323,                0.00786,                0.00145,                 3.9168,                 3.1816,                 3.5007,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.0474,                 1.5203,                  2.143,                0.01442,                0.15323,                0.00786,                0.00145,                 3.9168,                 3.1816,                 3.5007,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.0615,                 1.5722,                 2.0823,                0.30195,                0.20968,                0.21048,                0.05846,                 2.8232,                 2.3733,                 2.7971,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.8518,                 1.5033,                 1.9413,                0.30195,                0.20968,                0.21048,                0.05846,                 2.8232,                 2.3733,                 2.7971,               0.000911,               0.000911,               0.000911
                     58,                 1.9973,                 1.5552,                 2.0518,                0.44705,                0.20161,                0.30212,                0.11028,                 2.6939,                 2.3104,                 2.6903,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.9595,                 1.5972,                  2.242,                0.44705,                0.20161,                0.30212,                0.11028,                 2.6939,                 2.3104,                 2.6903,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.9035,                 1.4731,                  2.137,                      1,                0.15904,                0.34909,                0.13094,                 2.9852,                 2.6109,                 2.8672,              0.0008516,              0.0008516,              0.0008516
                     61,                  2.004,                 1.4843,                 2.1091,                      1,                0.15904,                0.34909,                0.13094,                 2.9852,                 2.6109,                 2.8672,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.9447,                 1.5057,                 2.1383,                0.96391,                0.21547,                0.36937,                0.18879,                 2.3914,                 2.4018,                 2.5936,               0.000812,               0.000812,               0.000812
                     63,                 1.8522,                 1.3827,                 2.0114,                0.96391,                0.21547,                0.36937,                0.18879,                 2.3914,                 2.4018,                 2.5936,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.8843,                 1.4409,                 1.8813,                0.52586,                 0.2773,                0.38844,                0.21217,                 2.1444,                 2.1545,                 2.3582,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.8527,                 1.3962,                 1.9485,                0.52586,                 0.2773,                0.38844,                0.21217,                 2.1444,                 2.1545,                 2.3582,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.8539,                 1.3842,                 1.9505,                0.84397,                0.33871,                0.50371,                0.27923,                  2.078,                 2.0703,                 2.3069,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.8993,                 1.4002,                 1.9385,                0.84397,                0.33871,                0.50371,                0.27923,                  2.078,                 2.0703,                 2.3069,               0.000713,               0.000713,               0.000713
                     68,                 1.8874,                 1.4082,                  1.939,                0.88462,                0.43283,                0.56104,                0.28806,                 2.4345,                 2.0603,                 2.4931,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.8483,                 1.3733,                 1.9213,                0.88462,                0.43283,                0.56104,                0.28806,                 2.4345,                 2.0603,                 2.4931,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.8559,                 1.3377,                 1.9006,                0.93857,                0.49291,                0.66642,                0.34482,                 2.1032,                 1.8001,                 2.2811,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.7368,                 1.2671,                 1.9058,                0.93857,                0.49291,                0.66642,                0.34482,                 2.1032,                 1.8001,                 2.2811,              0.0006338,              0.0006338,              0.0006338
                     72,                  1.749,                 1.3537,                 1.9217,                0.71259,                0.73387,                0.80609,                 0.4293,                  1.829,                 1.4062,                 2.0254,               0.000614,               0.000614,               0.000614
                     73,                 1.7501,                 1.3704,                 1.9815,                0.71259,                0.73387,                0.80609,                 0.4293,                  1.829,                 1.4062,                 2.0254,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.6586,                 1.2208,                 1.7873,                0.73806,                   0.75,                 0.8379,                0.47847,                 1.6701,                 1.2629,                 1.9066,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.6047,                 1.2669,                 1.8338,                0.73806,                   0.75,                 0.8379,                0.47847,                 1.6701,                 1.2629,                 1.9066,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.685,                 1.2564,                 1.9532,                0.84812,                0.72054,                0.87211,                0.49918,                 1.6183,                 1.2262,                 1.8394,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.7115,                 1.2693,                  1.906,                0.84812,                0.72054,                0.87211,                0.49918,                 1.6183,                 1.2262,                 1.8394,               0.000515,               0.000515,               0.000515
                     78,                 1.5507,                 1.2276,                 1.7669,                0.83748,                0.74805,                0.89494,                  0.542,                 1.5171,                 1.1909,                  1.787,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5574,                 1.2038,                 1.7854,                0.83748,                0.74805,                0.89494,                  0.542,                 1.5171,                 1.1909,                  1.787,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.7606,                 1.2529,                 1.7546,                0.77627,                 0.8629,                0.90319,                0.58354,                  1.418,                 1.1642,                 1.7494,              0.0004556,              0.0004556,              0.0004556
